# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
   900	    11.67307	     0.21174
   950	     9.88628	     0.18523
  1000	     8.62655	     0.16449
  1050	     7.18638	     0.14315
  1100	     6.27360	     0.12854
  1150	     5.32215	     0.11333
  1200	     4.74004	     0.10229
  1250	     4.15518	     0.09205
  1300	     3.45123	     0.08061
  1350	     3.00406	     0.07235
  1400	     2.63600	     0.06577
  1450	     2.40983	     0.06048
  1500	     2.06770	     0.05438
  1550	     1.76667	     0.04845
  1600	     1.53694	     0.04383
  1650	     1.40012	     0.04080
  1700	     1.22573	     0.03718
  1750	     1.11734	     0.03414
  1800	     1.02727	     0.03201
  1850	     0.92752	     0.02960
  1900	     0.82227	     0.02702
  1950	     0.74361	     0.02498
  2000	     0.66106	     0.02296
  2050	     0.65768	     0.02245
  2100	     0.52738	     0.01948
  2150	     0.53054	     0.01924
  2200	     0.50451	     0.01830
  2250	     0.43583	     0.01656
  2300	     0.39617	     0.01535
  2350	     0.36741	     0.01451
  2400	     0.32416	     0.01335
  2450	     0.31195	     0.01287
  2500	     0.29735	     0.01231
  2550	     0.25671	     0.01116
  2600	     0.24983	     0.01081
  2650	     0.23748	     0.01032
  2700	     0.21245	     0.00954
  2750	     0.21835	     0.00957
  2800	     0.18690	     0.00870
  2850	     0.18582	     0.00843
  2900	     0.16649	     0.00794
  2950	     0.16709	     0.00781
  3000	     0.15750	     0.00742
  3050	     0.14567	     0.00706
  3100	     0.13844	     0.00674
  3150	     0.12430	     0.00629
  3200	     0.11701	     0.00599
  3250	     0.11508	     0.00588
  3300	     0.11478	     0.00576
  3350	     0.09987	     0.00528
  3400	     0.09450	     0.00509
  3450	     0.08487	     0.00471
  3500	     0.08950	     0.00478
  3550	     0.08983	     0.00478
