# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189411 seconds
# 172.999726 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  2250	     3.16758	     0.02607
  2300	     2.96079	     0.02481
  2350	     2.75527	     0.02338
  2400	     2.54453	     0.02182
  2450	     2.36304	     0.02070
  2500	     2.18166	     0.01920
  2550	     2.01672	     0.01788
  2600	     1.84225	     0.01674
  2650	     1.75297	     0.01607
  2700	     1.59930	     0.01465
  2750	     1.49885	     0.01404
  2800	     1.41320	     0.01334
  2850	     1.32003	     0.01265
  2900	     1.18827	     0.01157
  2950	     1.13439	     0.01115
  3000	     1.03951	     0.01033
  3050	     0.98280	     0.00986
  3100	     0.91722	     0.00923
  3150	     0.84462	     0.00868
  3200	     0.79945	     0.00824
  3250	     0.73771	     0.00779
  3300	     0.68907	     0.00735
  3350	     0.62516	     0.00686
  3400	     0.59796	     0.00660
  3450	     0.55217	     0.00614
  3500	     0.52428	     0.00589
  3550	     0.47226	     0.00545
  3600	     0.45307	     0.00534
  3650	     0.42196	     0.00500
  3700	     0.38960	     0.00472
  3750	     0.35775	     0.00438
  3800	     0.34453	     0.00426
  3850	     0.31240	     0.00403
  3900	     0.28873	     0.00375
  3950	     0.27405	     0.00359
  4000	     0.25252	     0.00335
  4050	     0.24128	     0.00321
  4100	     0.22950	     0.00314
  4150	     0.21430	     0.00301
  4200	     0.18995	     0.00264
  4250	     0.18553	     0.00266
  4300	     0.17359	     0.00250
  4350	     0.15817	     0.00227
  4400	     0.15469	     0.00227
  4450	     0.14102	     0.00215
  4500	     0.13446	     0.00202
  4550	     0.12142	     0.00183
  4600	     0.11934	     0.00185
  4650	     0.10806	     0.00171
  4700	     0.10766	     0.00173
  4750	     0.09652	     0.00155
  4800	     0.09192	     0.00151
  4850	     0.08223	     0.00138
  4900	     0.07986	     0.00135
  4950	     0.07397	     0.00130
# extra	     0.02405
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.190009 seconds
# 172.455275 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20247.47754	   305.45618
    50	  3231.47984	    44.99510
   100	  1342.99866	    17.12654
   150	   758.43940	     8.98370
   200	   475.24012	     5.41978
   250	   334.73524	     3.63049
   300	   262.19289	     2.63896
   350	   200.46635	     1.96707
   400	   160.52056	     1.51912
   450	   131.95506	     1.20623
   500	   110.26580	     0.97494
   550	    93.44792	     0.80526
   600	    79.44547	     0.67119
   650	    70.27661	     0.57116
   700	    61.04858	     0.48636
   750	    53.82343	     0.41923
   800	    47.04874	     0.36583
   850	    41.59020	     0.31799
   900	    36.78144	     0.28034
   950	    33.07661	     0.24752
  1000	    29.18745	     0.21923
  1050	    26.11561	     0.19555
  1100	    23.89860	     0.17530
  1150	    21.59227	     0.15817
  1200	    19.77176	     0.14387
  1250	    17.79146	     0.12886
  1300	    16.09166	     0.11654
  1350	    14.63760	     0.10632
  1400	    13.24265	     0.09689
  1450	    12.00611	     0.08812
  1500	    11.04918	     0.08135
  1550	    10.11806	     0.07465
  1600	     9.22594	     0.06853
  1650	     8.35990	     0.06299
  1700	     7.66458	     0.05824
  1750	     7.09025	     0.05363
  1800	     6.62177	     0.04990
  1850	     6.05069	     0.04618
  1900	     5.53918	     0.04263
  1950	     5.15990	     0.04009
  2000	     4.73481	     0.03735
  2050	     4.37611	     0.03462
  2100	     3.98467	     0.03245
  2150	     3.76321	     0.03031
  2200	     3.57929	     0.02878
  2250	     3.18278	     0.02621
  2300	     2.96988	     0.02487
  2350	     2.77553	     0.02333
  2400	     2.59554	     0.02194
  2450	     2.33754	     0.02022
  2500	     2.19554	     0.01936
  2550	     2.02116	     0.01792
  2600	     1.88469	     0.01699
  2650	     1.74964	     0.01595
  2700	     1.63476	     0.01502
  2750	     1.49773	     0.01408
  2800	     1.39553	     0.01315
  2850	     1.27072	     0.01232
  2900	     1.21815	     0.01173
  2950	     1.13868	     0.01118
  3000	     1.03427	     0.01017
  3050	     0.97743	     0.00994
  3100	     0.89891	     0.00922
  3150	     0.84610	     0.00875
  3200	     0.78256	     0.00824
  3250	     0.74343	     0.00790
  3300	     0.67496	     0.00730
  3350	     0.64465	     0.00704
  3400	     0.57405	     0.00639
  3450	     0.54617	     0.00616
  3500	     0.50775	     0.00583
  3550	     0.47740	     0.00557
  3600	     0.44731	     0.00530
  3650	     0.41299	     0.00496
  3700	     0.38970	     0.00469
  3750	     0.36010	     0.00447
  3800	     0.33611	     0.00413
  3850	     0.31037	     0.00394
  3900	     0.29092	     0.00378
  3950	     0.27057	     0.00352
  4000	     0.25026	     0.00328
  4050	     0.23872	     0.00321
  4100	     0.21989	     0.00299
  4150	     0.19973	     0.00276
  4200	     0.19390	     0.00269
  4250	     0.18478	     0.00263
  4300	     0.16830	     0.00245
  4350	     0.15834	     0.00231
  4400	     0.15244	     0.00222
  4450	     0.13865	     0.00208
  4500	     0.13160	     0.00199
  4550	     0.12158	     0.00187
  4600	     0.11647	     0.00183
  4650	     0.10527	     0.00164
  4700	     0.09927	     0.00160
  4750	     0.09190	     0.00150
  4800	     0.09080	     0.00150
  4850	     0.08466	     0.00141
  4900	     0.07629	     0.00128
  4950	     0.07565	     0.00127
# extra	     0.02359
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189893 seconds
# 172.560087 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20247.47754	   305.45618
    50	  3231.47984	    44.99510
   100	  1342.99866	    17.12654
